#Group_id  N_of_members members 
       1        1 2 
       2        1 3 
       3        2 4 5 
       4        1 6 
       5        1 7 
       6        1 8 
       7        1 9 
       8        3 10 11 742 
       9        6 12 13 29 30 52 53 
      10        1 14 
      11        1 15 
      12        1 16 
      13        1 17 
      14        1 18 
      15        1 19 
      16        1 20 
      17        1 21 
      18       20 22 113 23 237 238 263 350 48 59 71 72 73 49 58 120 122 155 25 33 34 
      19        1 24 
      20        5 26 428 479 489 598 
      21        1 27 
      22        1 28 
      23        1 31 
      24        1 32 
      25        1 35 
      26        1 36 
      27        2 37 38 
      28        1 39 
      29        9 40 277 63 64 76 446 60 61 642 
      30        1 41 
      31        1 42 
      32        3 43 67 44 
      33        1 45 
      34        5 46 251 420 553 408 
      35        1 47 
      36        1 50 
      37        1 51 
      38        4 54 145 246 55 
      39        6 56 1065 1141 1355 777 1371 
      40        1 57 
      41        1 62 
      42        1 65 
      43        1 66 
      44       16 68 524 577 622 663 664 689 69 70 74 81 86 87 91 88 613 
      45        1 75 
      46        1 77 
      47        1 78 
      48        1 79 
      49        1 80 
      50        1 82 
      51        1 83 
      52        1 84 
      53        1 85 
      54        1 89 
      55        2 90 1232 
      56        1 92 
      57        1 93 
      58        1 94 
      59        2 95 199 
      60        1 96 
      61        1 97 
      62        1 98 
      63       11 99 360 436 197 206 231 448 459 505 563 198 
      64        1 100 
      65        1 101 
      66        1 102 
      67        3 103 104 105 
      68        1 106 
      69        1 107 
      70        1 108 
      71       11 109 388 119 272 336 355 432 160 184 227 258 
      72        2 110 215 
      73        8 111 1036 216 305 833 834 918 930 
      74        1 112 
      75        2 114 384 
      76        1 115 
      77        1 116 
      78        1 117 
      79        1 118 
      80        1 121 
      81        1 123 
      82        1 124 
      83        2 125 304 
      84        1 126 
      85        6 127 208 209 247 334 412 
      86        1 128 
      87        1 129 
      88        1 130 
      89        1 131 
      90        1 132 
      91        2 133 134 
      92        1 135 
      93        1 136 
      94        1 137 
      95        3 138 373 374 
      96        1 139 
      97        2 140 323 
      98        3 141 306 307 
      99        4 142 335 337 485 
     100        1 143 
     101        1 144 
     102        1 146 
     103        1 147 
     104        1 148 
     105        1 149 
     106        2 150 389 
     107        1 151 
     108        1 152 
     109        1 153 
     110        2 154 249 
     111        1 156 
     112        3 157 158 331 
     113        1 159 
     114        1 161 
     115        3 162 242 243 
     116        1 163 
     117        1 164 
     118        1 165 
     119        1 166 
     120        2 167 256 
     121        1 168 
     122        1 169 
     123        2 170 798 
     124        4 171 788 993 264 
     125        1 172 
     126        1 173 
     127        2 174 562 
     128        1 175 
     129        3 176 177 775 
     130       23 178 1231 254 269 270 345 346 506 507 508 523 564 565 567 1229 509 510 511 566 568 605 606 521 
     131        2 179 180 
     132        3 181 245 283 
     133        1 182 
     134        1 183 
     135        1 185 
     136        1 186 
     137        1 187 
     138        2 188 279 
     139        2 189 282 
     140        1 190 
     141        7 191 1086 222 262 545 629 842 
     142        1 192 
     143        1 193 
     144        1 194 
     145        1 195 
     146        1 196 
     147        1 200 
     148        1 201 
     149        1 202 
     150        1 203 
     151        1 204 
     152        1 205 
     153        1 207 
     154        1 210 
     155        2 211 212 
     156        1 213 
     157        1 214 
     158        2 217 309 
     159        1 218 
     160        1 219 
     161        1 220 
     162        1 221 
     163        3 223 328 329 
     164        1 224 
     165        1 225 
     166        1 226 
     167        1 228 
     168        1 229 
     169        1 230 
     170        1 232 
     171        7 233 234 235 467 267 268 365 
     172        1 236 
     173        2 239 799 
     174        2 240 480 
     175        1 241 
     176        1 244 
     177        1 248 
     178        1 250 
     179        2 252 554 
     180        1 253 
     181        2 255 999 
     182        1 257 
     183        1 259 
     184        1 260 
     185        1 261 
     186        1 265 
     187        1 266 
     188        1 271 
     189        2 273 274 
     190        5 275 356 425 433 666 
     191        1 276 
     192        1 278 
     193        1 280 
     194        1 281 
     195        1 284 
     196        1 285 
     197        2 286 1040 
     198        1 287 
     199        1 288 
     200        3 289 369 443 
     201        1 290 
     202        2 291 397 
     203        1 292 
     204        1 293 
     205        1 294 
     206        1 295 
     207        1 296 
     208        1 297 
     209        2 298 393 
     210        2 299 300 
     211        2 301 302 
     212        1 303 
     213        5 308 1029 503 767 915 
     214        1 310 
     215        1 311 
     216        1 312 
     217        2 313 362 
     218        1 314 
     219        1 315 
     220        2 316 493 
     221        1 317 
     222        1 318 
